id,reference
0,19.113
1,11.9593
2,64.244
3,57.9316
4,51.2431
5,75.1127
6,49.2746
7,78.7235
8,15.4689
9,61.4156
10,37.0047
11,62.8512
12,51.2926
13,41.3838
14,43.7896
15,15.8724
16,30.7748
17,37.863
18,19.3798
19,66.4899
20,55.0857
21,82.1505
22,61.3792
23,33.7878
24,61.4262
25,24.2194
26,40.803
27,80.6178
28,38.6832
29,15.8522
30,85.9191
31,46.9328
32,69.895
33,41.8966
34,42.0779
35,45.0386
36,41.4036
37,73.9754
38,62.8434
39,51.2778
40,20.1086
41,39.6578
42,75.6308
43,33.8822
44,46.5038
45,84.5577
46,51.7525
47,63.3291
48,33.8572
49,80.2496
50,72.0079
51,81.1918
52,49.5003
53,59.266
54,37.1053
55,43.5196
56,49.8308
57,46.6152
58,52.2536
59,38.1334
60,37.4678
61,42.3515
62,70.4871
63,52.3878
64,39.8481
65,50.4682
66,43.468
67,53.7939
68,58.5108
69,45.0704
70,68.6673
71,58.8633
72,60.0263
73,44.5927
74,38.6484
75,36.6689
76,52.3366
77,43.6647
78,30.111
79,17.0236
80,57.8588
81,36.815
82,60.489
83,33.9831
84,28.2589
85,24.5202
86,59.8433
87,77.9005
88,58.5856
89,58.3413
90,31.9271
91,59.9817
92,77.5908
93,77.6304
94,56.5864
95,21.1908
96,43.8989
97,48.6766
98,47.6009
99,57.8918
100,47.9606
101,4.22373
102,23.0684
103,71.7529
104,78.9634
105,28.5772
106,51.5437
107,63.2268
108,40.5441
109,21.4903
110,35.6643
111,41.3859
112,69.1235
113,33.4055
114,32.5042
115,14.3066
116,1.53076
117,54.8581
118,81.8732
119,18.9714
120,62.3389
121,3.40666
122,32.0532
123,28.4027
124,75.8124
125,87.3729
126,0.626823
127,87.9242
128,56.9983
129,8.11477
130,6.21959
131,50.8864
132,61.6482
133,42.5274
134,87.3458
135,31.4147
136,88.9433
137,53.6518
138,74.2046
139,58.9912
140,39.3732
141,54.0481
142,45.2485
143,36.5193
144,20.7822
145,34.2001
146,39.7765
147,17.2571
148,10.2567
149,59.8957
150,86.0972
151,53.4395
152,53.404
153,78.2033
154,70.1557
155,51.0059
156,36.9719
157,51.6898
158,3.52635
159,59.8636
160,47.7856
161,36.7571
162,16.2004
163,79.688
164,48.3963
165,72.6908
166,12.2232
167,50.5108
168,27.293
169,71.042
170,54.5188
171,49.4509
172,40.2431
173,39.0177
174,33.6144
175,34.5586
176,73.3726
177,75.4649
178,57.5427
179,59.5434
180,28.5935
181,76.0839
182,65.0052
183,34.2544
184,83.029
185,51.2601
186,41.1271
187,10.3935
188,21.9204
189,42.5765
190,17.781
191,66.8332
192,31.9182
193,44.2689
194,23.7811
195,27.064
196,87.0771
197,73.8998
198,58.6145
199,38.7027
200,51.2709
201,21.7848
202,44.7097
203,33.4445
204,41.8065
205,76.2103
206,38.1896
207,55.658
208,17.9043
209,62.0576
210,58.5155
211,45.7558
212,42.497
213,41.724
214,64.501
215,63.6949
216,32.3135
217,82.2736
218,37.5755
219,43.1677
220,59.9514
221,2.27692
222,21.7982
223,76.3703
224,45.3105
225,12.9738
226,44.44
227,13.3194
228,47.9967
229,17.5259
230,23.3334
231,40.1227
232,32.2255
233,43.1956
234,49.2413
235,83.6799
236,49.3356
237,56.1542
238,33.4995
239,45.9085
240,48.9942
241,51.0283
242,24.2375
243,54.7104
244,31.8155
245,58.4714
246,13.2679
247,45.2439
248,29.5015
249,82.6135
250,28.8333
251,35.9329
252,36.2525
253,90.8403
254,40.3957
255,79.5219
256,68.728
257,-10.4842
258,40.659
259,59.6127
260,45.469
261,48.3425
262,76.5803
263,44.1217
264,79.73
265,15.1594
266,25.854
267,84.1445
268,55.4252
269,62.0254
270,40.7028
271,25.6034
272,77.0234
273,23.1145
274,34.1574
275,82.6699
276,78.6477
277,22.6634
278,8.96039
279,-1.11883
280,38.4169
281,11.2948
282,49.2765
283,83.9721
284,30.2151
285,61.5488
286,39.7967
287,83.2457
288,40.2965
289,14.434
290,33.0554
291,74.0492
292,26.684
293,0.0992688
294,51.7815
295,80.55
296,32.4918
297,39.0731
298,35.9749
299,76.048
300,65.2609
301,5.72333
302,73.2068
303,56.2615
304,53.3996
305,46.3165
306,85.6645
307,12.3947
308,5.44561
309,51.5358
310,54.4713
311,68.5132
312,20.8587
313,44.7734
314,78.7437
315,52.1264
316,71.7182
317,53.194
318,55.1291
319,69.7106
320,37.6737
321,42.6951
322,47.1133
323,14.2469
324,73.4535
325,27.5885
326,27.1845
327,21.094
328,65.5696
329,17.8446
330,41.6255
331,52.7302
332,56.7793
333,76.6978
334,35.4935
335,81.2603
336,55.1912
337,18.286
338,51.5556
339,27.385
340,48.5778
341,66.1565
342,52.3289
343,44.2427
344,19.4152
345,39.0495
346,37.2618
347,15.1676
348,29.9749
349,64.8583
350,85.0417
351,27.2854
352,16.8955
353,31.9919
354,62.6296
355,26.0843
356,60.2906
357,37.0272
358,72.3576
359,41.7083
360,61.3829
361,68.6375
362,42.5916
363,25.4806
364,73.2266
365,50.2918
366,53.1653
367,79.282
368,60.0361
369,48.8166
370,28.5046
371,76.3922
372,85.7468
373,46.5525
374,32.0909
375,59.0093
376,20.337
377,45.6303
378,54.0979
379,85.8885
380,35.6782
381,44.1643
382,49.0377
383,57.5873
384,11.3913
385,50.272
386,46.0948
387,48.3656
388,50.2125
389,84.2539
390,59.9435
391,59.3349
392,60.9924
393,23.8066
394,39.1204
395,35.1208
396,54.5761
397,24.0773
398,32.8827
399,35.7613
400,29.3366
401,65.7302
402,40.9261
403,23.1016
404,23.2438
405,60.4982
406,55.7901
407,43.2456
408,41.2733
409,57.411
410,35.3109
411,9.90682
412,15.5251
413,52.2817
414,72.0317
415,12.7756
416,78.1405
417,81.2638
418,48.0643
419,41.3484
420,80.4061
421,45.16
422,63.8171
423,16.2107
424,33.6527
425,67.4079
426,24.8197
427,22.8486
428,67.7404
429,49.7358
430,72.3003
431,32.1432
432,50.3631
433,70.9341
434,72.2181
435,36.1631
436,54.458
437,40.3875
438,34.5174
439,36.6567
440,74.0122
441,85.6872
442,56.5566
443,39.3817
444,63.4802
445,36.3402
446,67.8081
447,48.0244
448,93.5576
449,28.3589
450,42.1971
451,49.2179
452,44.5284
453,72.8501
454,27.1739
455,47.6834
456,33.9024
457,39.1681
458,3.46756
459,35.7664
460,41.4359
461,30.7955
462,28.0733
463,47.7318
464,45.8709
465,84.5732
466,41.4719
467,42.0201
468,76.6727
469,51.9979
470,19.5521
471,53.0818
472,39.2239
473,44.1087
474,43.5683
475,65.6179
476,48.1383
477,54.6378
478,29.7353
479,44.0007
480,34.5368
481,22.9085
482,51.9974
483,78.8728
484,48.0856
485,49.1382
486,30.7477
487,38.1069
488,46.9753
489,22.95
490,46.477
491,43.2049
492,17.0168
493,35.6349
494,77.2937
495,42.0197
496,64.7392
497,33.3305
498,51.4075
499,54.7425
500,17.5046
501,38.9301
502,30.9392
503,89.7149
504,52.8725
505,35.9325
506,25.3134
507,82.8742
508,24.9577
509,73.2072
510,86.8155
511,36.7639
512,35.1782
513,12.2477
514,42.1471
515,63.4181
516,34.5412
517,49.1407
518,12.2762
519,57.5291
520,13.0154
521,51.1961
522,78.0135
523,43.484
524,27.2943
525,69.4922
526,36.541
527,74.8899
528,65.4897
529,87.3405
530,75.7154
531,46.8537
532,56.9897
533,26.6588
534,11.541
535,8.71521
536,77.9731
537,41.5365
538,46.6624
539,2.73779
540,40.6475
541,57.7585
542,17.9633
543,48.0311
544,25.8331
545,36.551
546,37.3536
547,59.8509
548,40.9049
549,31.7792
550,32.0732
551,80.0617
552,48.967
553,75.2924
554,84.8002
555,12.4025
556,79.383
557,69.6133
558,41.1628
559,56.5211
560,36.8482
561,72.9054
562,14.7762
563,71.8338
564,43.6254
565,49.4582
566,11.9374
567,79.0667
568,46.1375
569,61.0938
570,41.2718
571,27.2447
572,30.3434
573,37.8524
574,26.5932
575,65.7812
576,53.1494
577,76.6588
578,80.9892
579,79.367
580,43.361
581,49.6269
582,55.1247
583,74.7301
584,36.9009
585,83.6991
586,34.2107
587,76.1564
588,52.1559
589,42.9151
590,34.7791
591,82.1227
592,58.7798
593,50.6564
594,46.7459
595,36.9368
596,39.1808
597,69.6521
598,20.3421
599,31.0364
600,42.9957
601,70.8714
602,53.715
603,29.1303
604,29.7541
605,40.4178
606,21.8099
607,27.9102
608,79.6873
609,52.2788
610,27.963
611,60.2315
612,49.0386
613,54.3447
614,33.8576
615,33.5313
616,77.8617
617,43.0438
618,53.5935
619,36.8731
620,69.4591
621,10.716
622,45.6531
623,14.755
624,58.3544
625,78.7189
626,54.5343
627,37.8017
628,87.4398
629,29.5987
630,34.9816
631,36.3031
632,62.1197
633,33.5271
634,68.6936
635,58.8424
636,61.8488
637,83.3427
638,8.87917
639,29.2356
640,38.3494
641,79.0719
642,54.1214
643,59.4878
644,14.2699
645,7.46482
646,46.2184
647,49.1452
648,39.7219
649,26.1962
650,60.3355
651,79.248
652,71.0485
653,54.1194
654,89.6989
655,60.5762
656,82.9074
657,15.8062
658,26.3441
659,59.912
660,47.8323
661,45.0197
662,20.5954
663,43.0101
664,77.9072
665,38.3464
666,48.7109
667,76.1554
668,43.2295
669,45.1543
670,45.9779
671,47.3871
672,20.2527
673,15.5275
674,41.0846
675,51.5699
676,44.8397
677,46.2741
678,50.4376
679,68.3308
680,92.6162
681,41.5648
682,71.832
683,61.3808
684,78.439
685,33.0004
686,57.6401
687,8.55123
688,36.235
689,75.6857
690,28.2902
691,72.1859
692,36.4734
693,37.4308
694,52.0844
695,4.78109
696,44.8507
697,72.5092
698,72.6057
699,73.9513
700,63.8582
701,20.9821
702,40.5124
703,37.6373
704,32.9332
705,47.0693
706,75.6916
707,33.8644
708,47.9605
709,27.2354
710,32.2565
711,67.3346
712,26.3752
713,40.3409
714,46.8661
715,46.8732
716,73.9703
717,54.2122
718,48.2166
719,-0.89355
720,51.9861
721,69.7709
722,5.65035
723,30.6247
724,6.12075
725,77.0608
726,50.8842
727,77.885
728,62.7498
729,32.1456
730,18.6772
731,39.8452
732,40.5062
733,46.9972
734,51.7541
735,3.47874
736,39.3094
737,31.9495
738,44.2176
739,42.5536
740,72.9737
741,24.5948
742,69.1212
743,36.6949
744,30.2005
745,30.1951
746,18.3611
747,83.1509
748,46.7039
749,42.2643
750,35.0526
751,31.1095
752,25.9698
753,46.7478
754,29.2256
755,78.5226
756,43.9114
757,62.735
758,64.0926
759,71.0885
760,51.2165
761,47.6719
762,40.3554
763,61.8217
764,28.3924
765,77.4555
766,61.9234
767,60.3876
768,13.5945
769,12.264
770,57.3429
771,46.7914
772,12.3634
773,50.4686
774,84.7152
775,61.3811
776,9.30027
777,49.2969
778,74.4123
779,29.0293
780,39.1825
781,46.828
782,31.1666
783,38.4562
784,52.592
785,30.4764
786,83.913
787,49.0042
788,51.0645
789,51.7863
790,76.9688
791,19.043
792,34.0917
793,35.0169
794,40.7441
795,71.9681
796,60.9947
797,78.3842
798,52.2159
799,77.0171
800,24.9229
801,60.7493
802,14.831
803,38.2228
804,42.347
805,51.3401
806,41.6822
807,41.2935
808,55.0537
809,51.0631
810,87.4549
811,74.78
812,40.8983
813,61.555
814,30.8967
815,21.6358
816,32.5406
817,50.7859
818,28.6873
819,29.4269
820,47.233
821,36.064
822,17.7263
823,62.4195
824,48.09
825,10.2457
826,59.6089
827,30.2956
828,85.9926
829,57.6737
830,35.9546
831,28.4964
832,82.2651
833,75.8407
834,42.1993
835,31.4186
836,40.4499
837,73.4477
838,68.4639
839,27.6032
840,42.1454
841,42.2945
